date,fighter a,fighter b,result
"July 18, 2026",Dricus Du Plessis,Kamaru Usman,win
"July 18, 2026",Christian Leroy Duncan,Jared Cannonier,win
"July 18, 2026",Chase Hooper,Mitch Ramirez,win
"July 18, 2026",Fatima Kline,Tabatha Ricci,win
"July 18, 2026",Tommy McMillen,Alberto Montes,win
"July 18, 2026",Jose Delgado,Austin Bashi,win
"July 18, 2026",Jean-Paul Lebosnoyani,Seokhyeon Ko,win
"July 18, 2026",Felipe Franco,Levi Rodrigues Jr.,win
"July 18, 2026",Ezra Elliott,Damien Anderson,win
"July 18, 2026",Alden Coria,Stewart Nicoll,win
"July 18, 2026",RJ Harris,Alvin Hines,win
"July 18, 2026",Dione Barbosa,Anna Melisano,win
"July 11, 2026",Max Holloway,Conor McGregor,win
"July 11, 2026",Paddy Pimblett,Benoit Saint Denis,win
"July 11, 2026",Mario Bautista,Cory Sandhagen,win
"July 11, 2026",Brandon Royval,Lone'er Kavanagh,win
"July 11, 2026",King Green,Terrance McKinney,win
"July 11, 2026",Robert Whittaker,Nikita Krylov,win
"July 11, 2026",Gable Steveson,Elisha Ellison,win
"July 11, 2026",Adrian Yanez,Cody Garbrandt,win
"July 11, 2026",Luke Riley,Kai Kamaka III,win
"July 11, 2026",Wang Cong,Tracy Cortez,win
"July 11, 2026",Damian Pinas,Cesar Almeida,win
"July 11, 2026",Farid Basharat,John Garza,win
"July 11, 2026",Ryan Gandra,Zach Reese,win
"July 11, 2026",Alessandro Costa,Cody Durden,win
"June 27, 2026",Rafael Fiziev,Manuel Torres,win
"June 27, 2026",Shara Magomedov,Michel Pereira,win
"June 27, 2026",Matheus Camilo,Nazim Sadykhov,win
"June 27, 2026",Asu Almabayev,Charles Johnson,win
"June 27, 2026",Ikram Aliskerov,Brunno Ferreira,win
"June 27, 2026",Abus Magomedov,Michal Oleksiejczuk,win
"June 27, 2026",Farman Hasanov,Eric Nolan,win
"June 27, 2026",Abdul Rakhman Yakhyaev,Julius Walker,win
"June 27, 2026",Nursulton Ruziboev,Andrey Pulyaev,win
"June 27, 2026",Kaan Ofli,Javier Reyes,win
"June 27, 2026",Daniil Donchenko,Theodor Berggren,win
"June 27, 2026",Jean Matsumoto,Bekzat Almakhan,win
"June 27, 2026",Tahir Abdullayev,Jefferson Nascimento,win
"June 20, 2026",Manel Kape,Kyoji Horiguchi,win
"June 20, 2026",Navajo Stirling,Ion Cutelaba,win
"June 20, 2026",Christian Rodriguez,Hyder Amil,win
"June 20, 2026",Murtazali Magomedov,Melsik Baghdasaryan,win
"June 20, 2026",Vinicius Oliveira,Andre Fili,win
"June 20, 2026",Kevin Borjas,Andre Lima,win
"June 20, 2026",Bia Mesquita,Melissa Mullins,win
"June 20, 2026",Mitch Raposo,Allan Nascimento,win
"June 20, 2026",Gaston Bolanos,Michael Aswell Jr.,win
"June 20, 2026",Levan Chokheli,Leon Shahbazyan,win
"June 20, 2026",Luana Santos,Karol Rosa,win
"June 20, 2026",Shane Collins,Otari Tanzilovi,win
"June 14, 2026",Justin Gaethje,Ilia Topuria,win
"June 14, 2026",Ciryl Gane,Alex Pereira,win
"June 14, 2026",Sean O'Malley,Aiemann Zahabi,win
"June 14, 2026",Josh Hokit,Derrick Lewis,win
"June 14, 2026",Mauricio Ruffy,Michael Chandler,win
"June 14, 2026",Bo Nickal,Kyle Daukaus,win
"June 14, 2026",Diego Lopes,Steve Garcia,win
"June 06, 2026",Gabriel Bonfim,Belal Muhammad,win
"June 06, 2026",Brendan Allen,Edmen Shahbazyan,win
"June 06, 2026",Tom Nolan,Fares Ziam,win
"June 06, 2026",Bryce Mitchell,Santiago Luna,win
"June 06, 2026",Iwo Baraniewski,Junior Tafa,win
"June 06, 2026",Alessandro Costa,Matt Schnell,win
"June 06, 2026",Marcus McGhee,John Yannis,win
"June 06, 2026",Edgar Chairez,Bruno Silva,win
"June 06, 2026",Chelsea Chandler,Priscila Cachoeira,win
"June 06, 2026",Joanderson Brito,Jordan Leavitt,win
"June 06, 2026",Jeisla Chaves,Yuneisy Duben,win
"June 06, 2026",Ketlen Souza,Ariane Carnelossi,win
"May 30, 2026",Song Yadong,Deiveson Figueiredo,win
"May 30, 2026",Alonzo Menifield,Zhang Mingyang,win
"May 30, 2026",Sergei Pavlovich,Tallison Teixeira,win
"May 30, 2026",Kai Asakura,Cameron Smotherman,win
"May 30, 2026",Jake Matthews,Carlston Harris,win
"May 30, 2026",Alex Perez,Sumudaerji,nc
"May 30, 2026",Luis Felipe Dias,YiSak Lee,win
"May 30, 2026",Jose Souza,Ding Meng,win
"May 30, 2026",Cody Haddon,Aoriqileng,win
"May 30, 2026",Rei Tsuruya,Luis Gurule,win
"May 30, 2026",Angela Hill,Xiong Jingnan,win
"May 30, 2026",Rodrigo Vera,Zhu Kangjie,win
"May 30, 2026",Jaqueline Amorim,Loma Lookboonmee,win
"May 16, 2026",Arnold Allen,Melquizael Costa,win
"May 16, 2026",Dooho Choi,Daniel Santos,win
"May 16, 2026",Juan Diaz,Malcolm Wellmaker,win
"May 16, 2026",Modestas Bukauskas,Christian Edwards,win
"May 16, 2026",Benardo Sopaj,Timmy Cuamba,win
"May 16, 2026",Khaos Williams,Nikolay Veretennikov,win
"May 16, 2026",Ivan Erslan,Tuco Tokkos,win
"May 16, 2026",Tommy Gantt,Artur Minev,win
"May 16, 2026",Ketlen Vieira,Jacqueline Cavalcanti,win
"May 16, 2026",Cody Brundage,Andre Petroski,win
"May 16, 2026",Alice Ardelean,Polyana Viana,win
"May 16, 2026",Luis Gurule,Daniel Barez,win
"May 16, 2026",Nicolle Caliari,Shauna Bannon,win
"May 09, 2026",Sean Strickland,Khamzat Chimaev,win
"May 09, 2026",Joshua Van,Tatsuro Taira,win
"May 09, 2026",Alexander Volkov,Waldo Cortes Acosta,win
"May 09, 2026",Sean Brady,Joaquin Buckley,win
"May 09, 2026",King Green,Jeremy Stephens,win
"May 09, 2026",Ateba Gautier,Ozzy Diaz,win
"May 09, 2026",Yaroslav Amosov,Joel Alvarez,win
"May 09, 2026",Grant Dawson,Mateusz Rebecki,win
"May 09, 2026",Jim Miller,Jared Gordon,win
"May 09, 2026",Roman Kopylov,Marco Tulio,win
"May 09, 2026",Pat Sabatini,William Gomis,win
"May 09, 2026",Baisangur Susurkaev,Djorden Santos,win
"May 09, 2026",Jose Ochoa,Clayton Carpenter,win
"May 02, 2026",Carlos Prates,Jack Della Maddalena,win
"May 02, 2026",Quillan Salkilld,Beneil Dariush,win
"May 02, 2026",Steve Erceg,Tim Elliott,win
"May 02, 2026",Marwan Rahiki,Ollie Schmid,win
"May 02, 2026",Brando Pericic,Shamil Gaziev,win
"May 02, 2026",Louie Sutherland,Tai Tuivasa,win
"May 02, 2026",Cam Rowston,Robert Bryczek,win
"May 02, 2026",Junior Tafa,Kevin Christian,win
"May 02, 2026",Jacob Malkoun,Gerald Meerschaert,win
"May 02, 2026",Colby Thicknesse,Vince Morales,win
"May 02, 2026",Wes Schultz,Ben Johnston,win
"May 02, 2026",Jonathan Micallef,Themba Gorimbo,win
"May 02, 2026",Kody Steele,Dom Mar Fan,win
"April 25, 2026",Aljamain Sterling,Youssef Zalal,win
"April 25, 2026",Joselyne Edwards,Norma Dumont,win
"April 25, 2026",Rafa Garcia,Alexander Hernandez,win
"April 25, 2026",Davey Grant,Adrian Luna Martinetti,win
"April 25, 2026",Raoni Barcelos,Montel Jackson,win
"April 25, 2026",Ryan Spann,Marcus Buchecha,win
"April 25, 2026",Eric McConico,Rodolfo Vieira,win
"April 25, 2026",Jackson McVey,Sedriques Dumas,win
"April 25, 2026",Michelle Montague,Mayra Bueno Silva,win
"April 25, 2026",Cody Durden,Jafel Filho,win
"April 25, 2026",Francis Marshall,Lucas Brennan,win
"April 25, 2026",Victor Valenzuela,Max Griffin,win
"April 25, 2026",Talita Alencar,Julia Polastri,win
"April 18, 2026",Mike Malott,Gilbert Burns,win
"April 18, 2026",Charles Jourdain,Kyler Phillips,win
"April 18, 2026",Jai Herbert,Mandel Nallo,win
"April 18, 2026",Jasmine Jasudavicius,Karine Silva,win
"April 18, 2026",Gauge Young,Thiago Moises,win
"April 18, 2026",Marcio Barbosa,Dennis Buzukja,win
"April 18, 2026",Robert Valentin,Julien Leblanc,win
"April 18, 2026",Gokhan Saricam,Tanner Boser,win
"April 18, 2026",Melissa Croden,Daria Zhelezniakova,win
"April 18, 2026",JJ Aldrich,Jamey-Lyn Horth,win
"April 18, 2026",John Castaneda,Mark Vologdin,draw
"April 18, 2026",John Yannis,Jamie Siraj,win
"April 11, 2026",Carlos Ulberg,Jiri Prochazka,win
"April 11, 2026",Paulo Costa,Azamat Murzakanov,win
"April 11, 2026",Josh Hokit,Curtis Blaydes,win
"April 11, 2026",Dominick Reyes,Johnny Walker,win
"April 11, 2026",Cub Swanson,Nate Landwehr,win
"April 11, 2026",Aaron Pico,Patricio Pitbull,win
"April 11, 2026",Kevin Holland,Randy Brown,win
"April 11, 2026",Mateusz Gamrot,Esteban Ribovics,win
"April 11, 2026",Tatiana Suarez,Loopy Godinez,win
"April 11, 2026",Chris Padilla,MarQuel Mederos,draw
"April 11, 2026",Vicente Luque,Kelvin Gastelum,win
"April 11, 2026",Charles Radtke,Francisco Prado,win
"April 04, 2026",Renato Moicano,Chris Duncan,win
"April 04, 2026",Virna Jandiroba,Tabatha Ricci,win
"April 04, 2026",Abdul Rakhman Yakhyaev,Brendson Ribeiro,win
"April 04, 2026",Ethyn Ewing,Rafael Estevam,win
"April 04, 2026",Tommy McMillen,Manolo Zecchini,win
"April 04, 2026",Jose Delano,Robert Ruchala,win
"April 04, 2026",Thomas Petersen,Guilherme Pat,win
"April 04, 2026",Alessandro Costa,Stewart Nicoll,win
"April 04, 2026",Darrius Flowers,Lando Vannata,win
"April 04, 2026",Alice Pereira,Hailey Cowan,win
"April 04, 2026",Tresean Gore,Azamat Bekoev,win
"April 04, 2026",Dione Barbosa,Melissa Gatto,win
"April 04, 2026",Kai Kamaka III,Dakota Hope,win
"March 28, 2026",Joe Pyfer,Israel Adesanya,win
"March 28, 2026",Alexa Grasso,Maycee Barber,win
"March 28, 2026",Michael Chiesa,Niko Price,win
"March 28, 2026",Lerryan Douglas,Julian Erosa,win
"March 28, 2026",Yousri Belgaroui,Mansur Abdul-Malik,win
"March 28, 2026",Terrance McKinney,Kyle Nelson,win
"March 28, 2026",Tofiq Musayev,Ignacio Bahamondes,win
"March 28, 2026",Lance Gibson Jr.,Chase Hooper,win
"March 28, 2026",Tyrell Fortune,Marcin Tybura,win
"March 28, 2026",Casey O'Neill,Gabriella Fernandes,win
"March 28, 2026",Navajo Stirling,Bruno Lopes,win
"March 28, 2026",Ricky Simon,Adrian Yanez,draw
"March 28, 2026",Alexia Thainara,Bruna Brasil,win
"March 21, 2026",Movsar Evloev,Lerone Murphy,win
"March 21, 2026",Luke Riley,Michael Aswell Jr.,win
"March 21, 2026",Michael Page,Sam Patterson,win
"March 21, 2026",Iwo Baraniewski,Austen Lane,win
"March 21, 2026",Christian Leroy Duncan,Roman Dolidze,win
"March 21, 2026",Danny Silva,Kurtis Campbell,win
"March 21, 2026",Mason Jones,Axel Sola,win
"March 21, 2026",Nathaniel Wood,Losene Keita,win
"March 21, 2026",Mario Pinto,Felipe Franco,win
"March 21, 2026",Mantas Kondratavicius,Antonio Trocoli,win
"March 21, 2026",Brando Pericic,Louie Sutherland,win
"March 21, 2026",Abdul-Kareem Al-Selwady,Shem Rock,win
"March 21, 2026",Shanelle Dyer,Ravena Oliveira,win
"March 14, 2026",Kevin Vallejos,Josh Emmett,win
"March 14, 2026",Gillian Robertson,Amanda Lemos,win
"March 14, 2026",Jose Delgado,Andre Fili,win
"March 14, 2026",Marwan Rahiki,Harry Hardwick,win
"March 14, 2026",Ion Cutelaba,Oumar Sy,win
"March 14, 2026",Charles Johnson,Bruno Silva,win
"March 14, 2026",Myktybek Orolbai,Chris Curtis,win
"March 14, 2026",Vitor Petrino,Steven Asplund,win
"March 14, 2026",Elijah Smith,SuYoung You,win
"March 14, 2026",Manoel Sousa,Bolaji Oki,win
"March 14, 2026",Eryk Anders,Brad Tavares,win
"March 14, 2026",Bia Mesquita,Montse Rendon,win
"March 14, 2026",Hecher Sosa,Luan Lacerda,win
"March 14, 2026",Piera Rodriguez,Sam Hughes,win
"March 07, 2026",Charles Oliveira,Max Holloway,win
"March 07, 2026",Caio Borralho,Reinier de Ridder,win
"March 07, 2026",Raul Rosas Jr.,Rob Font,win
"March 07, 2026",Drew Dober,Michael Johnson,win
"March 07, 2026",Gregory Rodrigues,Brunno Ferreira,win
"March 07, 2026",Cody Garbrandt,Xiao Long,win
"March 07, 2026",Donte Johnson,Cody Brundage,win
"March 07, 2026",Alberto Montes,Ricky Turcios,win
"March 07, 2026",Nyamjargal Tumendemberel,Cody Durden,win
"March 07, 2026",Sumudaerji,Jesus Aguilar,win
"March 07, 2026",Diyar Nurgozhay,Rafael Tobias,win
"March 07, 2026",Rodolfo Bellato,Luke Fernandez,win
"February 28, 2026",Lone'er Kavanagh,Brandon Moreno,win
"February 28, 2026",David Martinez,Marlon Vera,win
"February 28, 2026",King Green,Daniel Zellhuber,win
"February 28, 2026",Edgar Chairez,Felipe Bunes,win
"February 28, 2026",Imanol Rodriguez,Kevin Borjas,win
"February 28, 2026",Santiago Luna,Angel Pacheco,win
"February 28, 2026",Ryan Gandra,Jose Daniel Medina,win
"February 28, 2026",Ailin Perez,Macy Chiasson,win
"February 28, 2026",Cristian Quinonez,Kris Moutinho,win
"February 28, 2026",Javier Reyes,Douglas Silva de Andrade,win
"February 28, 2026",Regina Tarin,Ernesta Kareckaite,win
"February 28, 2026",Francis Marshall,Erik Silva,win
"February 28, 2026",Damian Pinas,Wes Schultz,win
"February 21, 2026",Sean Strickland,Anthony Hernandez,win
"February 21, 2026",Uros Medic,Geoff Neal,win
"February 21, 2026",Melquizael Costa,Dan Ige,win
"February 21, 2026",Serghei Spivac,Ante Delija,win
"February 21, 2026",Jacobe Smith,Josiah Harrell,win
"February 21, 2026",Michel Pereira,Zach Reese,win
"February 21, 2026",Carlos Leal,Chidi Njokuani,win
"February 21, 2026",Ode Osbourne,Alibi Idiris,nc
"February 21, 2026",Alden Coria,Luis Gurule,win
"February 21, 2026",Joselyne Edwards,Nora Cornolle,win
"February 21, 2026",Punahele Soriano,Ramiz Brahimaj,win
"February 21, 2026",Jean-Paul Lebosnoyani,Phil Rowe,win
"February 21, 2026",Jordan Leavitt,Yadier del Valle,win
"February 21, 2026",Carli Judice,Juliana Miller,win
"February 07, 2026",Mario Bautista,Vinicius Oliveira,win
"February 07, 2026",Kyoji Horiguchi,Amir Albazi,win
"February 07, 2026",Rizvan Kuniev,Jailton Almeida,win
"February 07, 2026",Michal Oleksiejczuk,Marc-Andre Barriault,win
"February 07, 2026",Farid Basharat,Jean Matsumoto,win
"February 07, 2026",Dustin Jacoby,Julius Walker,win
"February 07, 2026",Daniil Donchenko,Alex Morono,win
"February 07, 2026",Nikolay Veretennikov,Niko Price,win
"February 07, 2026",Ketlen Souza,Bruna Brasil,win
"February 07, 2026",Javid Basharat,Gianni Vazquez,win
"February 07, 2026",Wang Cong,Eduarda Moura,win
"February 07, 2026",Jakub Wiklacz,Muin Gafurov,win
"February 07, 2026",Klaudia Sygula,Priscila Cachoeira,win
"January 31, 2026",Alexander Volkanovski,Diego Lopes,win
"January 31, 2026",Benoit Saint Denis,Dan Hooker,win
"January 31, 2026",Mauricio Ruffy,Rafael Fiziev,win
"January 31, 2026",Tallison Teixeira,Tai Tuivasa,win
"January 31, 2026",Quillan Salkilld,Jamie Mullarkey,win
"January 31, 2026",Billy Elekana,Junior Tafa,win
"January 31, 2026",Cam Rowston,Cody Brundage,win
"January 31, 2026",Jacob Malkoun,Torrez Finney,win
"January 31, 2026",Jonathan Micallef,Oban Elliott,win
"January 31, 2026",Kaan Ofli,Yizha,win
"January 31, 2026",Dom Mar Fan,Sangwook Kim,win
"January 31, 2026",Keiichiro Nakamura,Sebastian Szalay,win
"January 31, 2026",Lawrence Lui,Sulangrangbo,win
"January 24, 2026",Justin Gaethje,Paddy Pimblett,win
"January 24, 2026",Sean O'Malley,Song Yadong,win
"January 24, 2026",Waldo Cortes Acosta,Derrick Lewis,win
"January 24, 2026",Natalia Silva,Rose Namajunas,win
"January 24, 2026",Jean Silva,Arnold Allen,win
"January 24, 2026",Umar Nurmagomedov,Deiveson Figueiredo,win
"January 24, 2026",Ateba Gautier,Andrey Pulyaev,win
"January 24, 2026",Nikita Krylov,Modestas Bukauskas,win
"January 24, 2026",Alex Perez,Charles Johnson,win
"January 24, 2026",Josh Hokit,Denzel Freeman,win
"January 24, 2026",Ty Miller,Adam Fugitt,win
"December 13, 2025",Manel Kape,Brandon Royval,win
"December 13, 2025",Kevin Vallejos,Giga Chikadze,win
"December 13, 2025",Cezary Oleksiejczuk,Cesar Almeida,win
"December 13, 2025",Melquizael Costa,Morgan Charriere,win
"December 13, 2025",Kennedy Nzechukwu,Marcus Buchecha,draw
"December 13, 2025",King Green,Lance Gibson Jr.,win
"December 13, 2025",Yaroslav Amosov,Neil Magny,win
"December 13, 2025",Joanderson Brito,Isaac Thomson,win
"December 13, 2025",Steven Asplund,Sean Sharaf,win
"December 13, 2025",Luana Santos,Melissa Croden,win
"December 13, 2025",Guilherme Pat,Allen Frye Jr.,win
"December 13, 2025",Jamey-Lyn Horth,Tereza Bleda,win
"December 06, 2025",Petr Yan,Merab Dvalishvili,win
"December 06, 2025",Joshua Van,Alexandre Pantoja,win
"December 06, 2025",Tatsuro Taira,Brandon Moreno,win
"December 06, 2025",Payton Talbott,Henry Cejudo,win
"December 06, 2025",Jan Blachowicz,Bogdan Guskov,draw
"December 06, 2025",Manuel Torres,Grant Dawson,win
"December 06, 2025",Chris Duncan,Terrance McKinney,win
"December 06, 2025",Maycee Barber,Karine Silva,win
"December 06, 2025",Fares Ziam,Nazim Sadykhov,win
"December 06, 2025",Brunno Ferreira,Marvin Vettori,win
"December 06, 2025",Jalin Turner,Edson Barboza,win
"December 06, 2025",Iwo Baraniewski,Ibo Aslan,win
"December 06, 2025",Mansur Abdul-Malik,Antonio Trocoli,win
"December 06, 2025",Mairon Santos,Muhammad Naimov,win
"November 22, 2025",Arman Tsarukyan,Dan Hooker,win
"November 22, 2025",Ian Machado Garry,Belal Muhammad,win
"November 22, 2025",Volkan Oezdemir,Alonzo Menifield,win
"November 22, 2025",Myktybek Orolbai,Jack Hermansson,win
"November 22, 2025",Waldo Cortes Acosta,Shamil Gaziev,win
"November 22, 2025",Kyoji Horiguchi,Tagir Ulanbekov,win
"November 22, 2025",Luke Riley,Bogdan Grad,win
"November 22, 2025",Nicolas Dalby,Saygid Izagakhmaev,win
"November 22, 2025",Asu Almabayev,Alex Perez,win
"November 22, 2025",Abdul Rakhman Yakhyaev,Rafael Cerqueira,win
"November 22, 2025",Aleksandre Topuria,Bekzat Almakhan,win
"November 22, 2025",Ismail Naurdiev,Ryan Loder,win
"November 22, 2025",Nurullo Aliev,Shem Rock,win
"November 22, 2025",Denzel Freeman,Marek Bujlo,win
"November 15, 2025",Islam Makhachev,Jack Della Maddalena,win
"November 15, 2025",Valentina Shevchenko,Zhang Weili,win
"November 15, 2025",Michael Morales,Sean Brady,win
"November 15, 2025",Carlos Prates,Leon Edwards,win
"November 15, 2025",Benoit Saint Denis,Beneil Dariush,win
"November 15, 2025",Bo Nickal,Rodolfo Vieira,win
"November 15, 2025",Gregory Rodrigues,Roman Kopylov,win
"November 15, 2025",Erin Blanchfield,Tracy Cortez,win
"November 15, 2025",Ethyn Ewing,Malcolm Wellmaker,win
"November 15, 2025",Kyle Daukaus,Gerald Meerschaert,win
"November 15, 2025",Pat Sabatini,Chepe Mariscal,win
"November 15, 2025",Fatima Kline,Angela Hill,win
"November 15, 2025",Baisangur Susurkaev,Eric McConico,win
"November 15, 2025",Matheus Camilo,Viacheslav Borshchev,win
"November 08, 2025",Gabriel Bonfim,Randy Brown,win
"November 08, 2025",Joseph Morales,Matt Schnell,win
"November 08, 2025",Uros Medic,Muslim Salikhov,win
"November 08, 2025",Chris Padilla,Ismael Bonfim,win
"November 08, 2025",Christian Leroy Duncan,Marco Tulio,win
"November 08, 2025",Jamall Emmers,Hyder Amil,win
"November 08, 2025",Raoni Barcelos,Ricky Simon,win
"November 08, 2025",Jacqueline Cavalcanti,Mayra Bueno Silva,win
"November 08, 2025",Josh Hokit,Max Gimenis,win
"November 08, 2025",Denise Gomes,Tecia Pennington,win
"November 08, 2025",Daniel Marcos,Miles Johns,win
"November 08, 2025",Zach Reese,Jackson McVey,win
"November 01, 2025",Steve Garcia,David Onama,win
"November 01, 2025",Waldo Cortes Acosta,Ante Delija,win
"November 01, 2025",Jeremiah Wells,Themba Gorimbo,win
"November 01, 2025",Yadier del Valle,Isaac Dulgarian,win
"November 01, 2025",Charles Radtke,Daniel Frunza,win
"November 01, 2025",Allan Nascimento,Cody Durden,win
"November 01, 2025",Billy Elekana,Kevin Christian,win
"November 01, 2025",Timmy Cuamba,ChangHo Lee,win
"November 01, 2025",Donte Johnson,Sedriques Dumas,win
"November 01, 2025",Norma Dumont,Ketlen Vieira,win
"November 01, 2025",Alice Ardelean,Montserrat Conejo Ruiz,win
"November 01, 2025",Seokhyeon Ko,Phil Rowe,win
"November 01, 2025",Talita Alencar,Ariane Carnelossi,win
"October 25, 2025",Tom Aspinall,Ciryl Gane,nc
"October 25, 2025",Mackenzie Dern,Virna Jandiroba,win
"October 25, 2025",Umar Nurmagomedov,Mario Bautista,win
"October 25, 2025",Alexander Volkov,Jailton Almeida,win
"October 25, 2025",Azamat Murzakanov,Aleksandar Rakic,win
"October 25, 2025",Quillan Salkilld,Nasrat Haqparast,win
"October 25, 2025",Ikram Aliskerov,JunYong Park,win
"October 25, 2025",Ludovit Klein,Mateusz Rebecki,win
"October 25, 2025",Valter Walker,Louie Sutherland,win
"October 25, 2025",Nathaniel Wood,Jose Delgado,win
"October 25, 2025",Hamdy Abdelwahab,Chris Barnett,win
"October 25, 2025",Mitch Raposo,Azat Maksum,win
"October 25, 2025",Mizuki,Jaqueline Amorim,win
"October 18, 2025",Brendan Allen,Reinier de Ridder,win
"October 18, 2025",Mike Malott,Kevin Holland,win
"October 18, 2025",Aiemann Zahabi,Marlon Vera,win
"October 18, 2025",Manon Fiorot,Jasmine Jasudavicius,win
"October 18, 2025",Charles Jourdain,Davey Grant,win
"October 18, 2025",Kyle Nelson,Matt Frevola,win
"October 18, 2025",Drew Dober,Kyle Prepolec,win
"October 18, 2025",Aoriqileng,Cody Gibson,win
"October 18, 2025",Bruno Silva,HyunSung Park,win
"October 18, 2025",Djorden Santos,Danny Barlow,win
"October 18, 2025",Stephanie Luciano,Ravena Oliveira,win
"October 18, 2025",Yousri Belgaroui,Azamat Bekoev,win
"October 18, 2025",Melissa Croden,Tainara Lisboa,win
"October 11, 2025",Charles Oliveira,Mateusz Gamrot,win
"October 11, 2025",Deiveson Figueiredo,Montel Jackson,win
"October 11, 2025",Joel Alvarez,Vicente Luque,win
"October 11, 2025",Mario Pinto,Jhonata Diniz,win
"October 11, 2025",Kaan Ofli,Ricardo Ramos,win
"October 11, 2025",Michael Aswell Jr.,Lucas Almeida,win
"October 11, 2025",Jafel Filho,Clayton Carpenter,win
"October 11, 2025",Vitor Petrino,Thomas Petersen,win
"October 11, 2025",Bia Mesquita,Irina Alekseeva,win
"October 11, 2025",Lucas Rocha,Stewart Nicoll,win
"October 11, 2025",Julia Polastri,Karolina Kowalkiewicz,win
"October 11, 2025",Luan Lacerda,Saimon Oliveira,win
"October 04, 2025",Alex Pereira,Magomed Ankalaev,win
"October 04, 2025",Merab Dvalishvili,Cory Sandhagen,win
"October 04, 2025",Jiri Prochazka,Khalil Rountree Jr.,win
"October 04, 2025",Youssef Zalal,Josh Emmett,win
"October 04, 2025",Joe Pyfer,Abus Magomedov,win
"October 04, 2025",Ateba Gautier,Tre'ston Vines,win
"October 04, 2025",Daniel Santos,JooSang Yoo,win
"October 04, 2025",Jakub Wiklacz,Patchy Mix,win
"October 04, 2025",Edmen Shahbazyan,Andre Muniz,win
"October 04, 2025",Punahele Soriano,Nikolay Veretennikov,win
"October 04, 2025",Yana Santos,Macy Chiasson,win
"October 04, 2025",Farid Basharat,Chris Gutierrez,win
"October 04, 2025",Ramiz Brahimaj,Austin Vanderford,win
"October 04, 2025",Veronica Hardy,Brogan Walker,win
"September 27, 2025",Carlos Ulberg,Dominick Reyes,win
"September 27, 2025",Jimmy Crute,Ivan Erslan,win
"September 27, 2025",Jack Jenkins,Ramon Taveras,win
"September 27, 2025",Neil Magny,Jake Matthews,win
"September 27, 2025",Tom Nolan,Charlie Campbell,win
"September 27, 2025",Navajo Stirling,Rodolfo Bellato,win
"September 27, 2025",Cam Rowston,Andre Petroski,win
"September 27, 2025",Jamie Mullarkey,Rolando Bedoya,win
"September 27, 2025",Colby Thicknesse,Josias Musasa,win
"September 27, 2025",Michelle Montague,Luana Carolina,win
"September 27, 2025",Brando Pericic,Elisha Ellison,win
"September 27, 2025",Alexia Thainara,Loma Lookboonmee,win
"September 13, 2025",Diego Lopes,Jean Silva,win
"September 13, 2025",David Martinez,Rob Font,win
"September 13, 2025",Rafa Garcia,Jared Gordon,win
"September 13, 2025",Kelvin Gastelum,Dustin Stoltzfus,win
"September 13, 2025",Alexander Hernandez,Diego Ferreira,win
"September 13, 2025",Santiago Luna,Quang Le,win
"September 13, 2025",Dusko Todorovic,Jose Daniel Medina,win
"September 13, 2025",Joaquim Silva,Claudio Puelles,win
"September 13, 2025",Tatiana Suarez,Amanda Lemos,win
"September 13, 2025",Jesus Aguilar,Luis Gurule,win
"September 13, 2025",Zach Reese,Sedriques Dumas,nc
"September 13, 2025",Alden Coria,Alessandro Costa,win
"September 13, 2025",Montse Rendon,Alice Pereira,win
"September 13, 2025",Daniil Donchenko,Rodrigo Sezinando,win
"September 06, 2025",Nassourdine Imavov,Caio Borralho,win
"September 06, 2025",Benoit Saint Denis,Mauricio Ruffy,win
"September 06, 2025",Modestas Bukauskas,Paul Craig,win
"September 06, 2025",Mason Jones,Bolaji Oki,win
"September 06, 2025",Axel Sola,Rhys McKee,win
"September 06, 2025",William Gomis,Robert Ruchala,win
"September 06, 2025",Oumar Sy,Brendson Ribeiro,win
"September 06, 2025",Ante Delija,Marcin Tybura,win
"September 06, 2025",Kaue Fernandes,Harry Hardwick,win
"September 06, 2025",Sam Patterson,Trey Waters,win
"September 06, 2025",Robert Bryczek,Brad Tavares,win
"September 06, 2025",Rinat Fakhretdinov,Andreas Gustafsson,win
"September 06, 2025",Sam Hughes,Shauna Bannon,win
"August 23, 2025",Johnny Walker,Zhang Mingyang,win
"August 23, 2025",Aljamain Sterling,Brian Ortega,win
"August 23, 2025",Sergei Pavlovich,Waldo Cortes Acosta,win
"August 23, 2025",Sumudaerji,Kevin Borjas,win
"August 23, 2025",Taiyilake Nueraji,Kiefer Crosbie,win
"August 23, 2025",Gauge Young,Maheshate,win
"August 23, 2025",Charles Johnson,Lone'er Kavanagh,win
"August 23, 2025",Rongzhu,Austin Hubbard,win
"August 23, 2025",Kyle Daukaus,Michel Pereira,win
"August 23, 2025",Yizha,Westin Wilson,win
"August 23, 2025",SuYoung You,Xiao Long,win
"August 23, 2025",Uran Satybaldiev,Diyar Nurgozhay,win
"August 16, 2025",Khamzat Chimaev,Dricus Du Plessis,win
"August 16, 2025",Lerone Murphy,Aaron Pico,win
"August 16, 2025",Carlos Prates,Geoff Neal,win
"August 16, 2025",Michael Page,Jared Cannonier,win
"August 16, 2025",Tim Elliott,Kai Asakura,win
"August 16, 2025",Baisangur Susurkaev,Eric Nolan,win
